assembler,mesh_resolution,num_procs,num_reps,num_dofs,avg_core_dofs,min_core_dofs,max_core_dofs,min_core_ghosts,max_core_ghosts,mat_norm,vec_norm,t_mat,t_mat_dof,t_vec,t_vec_dof
nest,39,16,10,1543117,96444.8125,91916,100712,12058,24495,115.36440879491562,0.002045017993411631,10.557298124687502,0.00010955477664667955,1.3684135664375,1.4201897152808747e-05
block,39,16,10,1543117,96444.8125,92360,99803,11528,27280,115.36440879654177,0.0020450179934116187,13.4714387028125,0.00013976942832765376,1.8038337313750001,1.8699732511109473e-05
mono,39,16,10,1543117,96444.8125,92069,99765,12295,27422,115.36440879571917,0.002045017993411622,17.8063378116875,0.00018474391943144834,0.7442343891875001,7.710157248683942e-06
mono,50,32,10,3223554,100736.0625,95279,107653,13194,34370,130.9099899320874,0.0014120244001668977,19.66038240859375,0.00019535207614779755,1.3971291130625,1.3863553206658126e-05
block,50,32,10,3223554,100736.0625,95600,106531,13971,32170,130.9099899326575,0.0014120244001668966,15.502373608375,0.00015402825824276627,4.512214505218751,4.480290599923372e-05
mono,63,64,10,6407293,100113.953125,94592,107772,13316,36532,147.18074479435947,0.0010000453509123868,19.9870547436875,0.00019986369579419938,1.7737466103750001,1.7720351723260705e-05
block,63,64,10,6407293,100113.953125,93042,108152,15590,33487,147.18074479333634,0.0010000453509123868,15.565492374921877,0.0001557438651913859,5.181754926171875,5.181991005760468e-05
mono,79,128,10,12571037,98211.2265625,91489,105200,15269,34524,165.01885541843566,0.0007131169407730267,20.23268624827344,0.00020627929410344805,2.1349195316015623,2.1751027216336812e-05
nest,50,32,10,3223554,100736.0625,94660,104995,13520,31609,130.90998993227586,0.0014120244001668922,11.89144769371875,0.00011811341734784102,1.72764476215625,1.715904005397118e-05
nest,63,64,10,6407293,100113.953125,93048,106918,14223,35410,147.1807447948782,0.0010000453509123868,15.28808576925,0.00015292422341271482,2.441996463765625,2.4425354139583358e-05
mono,100,256,10,25392104,99187.90625,92664,107685,14101,36435,185.85132018955173,0.0005012717094218152,21.142946783785156,0.00021342709385502662,2.599421672097656,2.6225272371200945e-05
nest,79,128,10,12571037,98211.2265625,91710,106173,14514,34566,165.01885541682327,0.0007131169407730268,16.227956945656253,0.00016546211968265691,5.184932530625001,5.286691210013513e-05
block,79,128,10,12571037,98211.2265625,91401,104937,14860,34885,165.01885541898068,0.0007131169407730267,16.76985221652344,0.00017098377217103177,7.858282716742188,8.009959412151725e-05
block,100,256,10,25392104,99187.90625,92953,107669,14598,36707,185.85132019201038,0.0005012717094218157,19.085021890191406,0.00019264495512200393,13.823402866210937,0.0001395124154670902
nest,100,256,10,25392104,99187.90625,92810,107407,14003,37018,185.85132019050403,0.0005012717094218156,18.1061592540625,0.0001827534640591184,7.807175296332032,7.879905326835452e-05
